brewery,link,type,address
Bootleg Brew Co.,/brewers/bootleg-brew-co/36365/,Microbrewery,"92 west street, Corner Brook, Newfoundland, A2H 1X6, Canada"
Boréale - Brasseurs du Nord,/brewers/boreale-brasseurs-du-nord/335/,Commercial Brewery,"875, Rue Michèle-Bohec, Blainville, Quebec, J7C 5J6, Canada"
Born Brewing Co.,/brewers/born-brewing-co/38991/,Microbrewery,"414C 36 Ave SE, Calgary, Alberta, T2G 1W4, Canada"
Boshkung Brewing Co.,/brewers/boshkung-brewing-co/20130/,Brewpub/Brewery,"9201 ON-118, Algonquin Highlands, Ontario, K0M 1J2, Canada"
Boswell - Brasserie Artisanale (Coop MaBrasserie),/brewers/boswell-brasserie-artisanale-coop-mabrasserie/24953/,Brewpub,"2407, Avenue du Mont-Royal Est, Montréal, Quebec, H2H 1L2, Canada"
Bow River Brewing,/brewers/bow-river-brewing/39656/,Microbrewery,"110-5769 4 St SE, Calgary, Alberta, T2H 1K8, Canada"
Boxing Rock Brewing Company,/brewers/boxing-rock-brewing-company/16916/,Microbrewery,"78 Ohio Road, Shelburne, Nova Scotia, B0T1W0, Canada"
BR77 - Microbrasserie,/brewers/br77-microbrasserie/32870/,Brewpub/Brewery,"2728, Boulevard du Saguenay, Jonquière, Quebec, G7S 5C3, Canada"
Brasserie Alpha,/brewers/brasserie-alpha/38220/,Brewpub/Brewery,"1510-A Rue Semple, Québec, Quebec, G1N 4B4, Canada"
Brasserie Amiral Brewery,/brewers/brasserie-amiral-brewery/30864/,Client Brewer,"Quebec, Canada"
Brasserie Anorak,/brewers/brasserie-anorak/47740/,Brewpub/Brewery,"2 Rue Meadowbrook, Morin-Heights, Quebec, J0R 1H0, Canada"
Brasserie Artisanale Albion,/brewers/brasserie-artisanale-albion/12381/,Brewpub,"408, Boulevard Manseau, Joliette, Quebec, J6E 4L2, Canada"
Brasserie Artisanale Gallicus,/brewers/brasserie-artisanale-gallicus/36720/,Brewpub/Brewery,"670, rue Auguste-Mondoux (local 4/5), Gatineau, Quebec, J9J 3K3, Canada"
Brasserie Artisanale L'Amère à Boire,/brewers/brasserie-artisanale-l39amere-a-boire/912/,Brewpub,"2049, Rue Saint-Denis, Montréal, Quebec, H2X 3K8, Canada"
Brasserie Artisanale Le Saint Graal,/brewers/brasserie-artisanale-le-saint-graal/12232/,Brewpub,"32, Rue Turgeon, Sainte-Thérèse, Quebec, J7E 3H4, Canada"
Brasserie Artisanale Maltstrom,/brewers/brasserie-artisanale-maltstrom/29031/,Brewpub/Brewery,"557, Route Barette, Notre-Dame-des-Prairies, Quebec, J6E 0M1, Canada"
Brasserie Auval Brewing Co.,/brewers/brasserie-auval-brewing-co/24096/,Microbrewery,"397, Route des Pères (Val d'Espoir), Percé, Quebec, G0C 3G0, Canada"
Brasserie Ayawan,/brewers/brasserie-ayawan/45060/,Microbrewery,"1201 10e Av, Val-Morin, Quebec, J0T 2R0, Canada"
Brasserie Barabâs,/brewers/brasserie-barabes/41542/,Brewpub/Brewery,"367 QC-132, Sainte-Barbe, Quebec, J0S 1J0, Canada"
Brasserie coopérative La Chasse-Pinte,/brewers/brasserie-cooperative-la-chasse-pinte/26482/,Microbrewery,"220, Rue Saint-Jean-Baptiste, L'Anse-Saint-Jean, Quebec, G0V 1J0, Canada"
Brasserie Dépareillée,/brewers/brasserie-depareillee/33561/,Brewpub/Brewery,"751, Rue Sainte-Anne, Yamachiche, Quebec, G0X 3L0, Canada"
Brasserie Dieu du Ciel!,/brewers/brasserie-dieu-du-ciel/364/,Brewpub/Brewery,"259 Rue de Villemure, Saint-Jérôme, Quebec, J7Z 5J4, Canada"
Brasserie du Bas-Canada,/brewers/brasserie-du-bas-canada/27291/,Brewpub/Brewery,"455, Boulevard de la Gappe, Gatineau, Quebec, J8T 0A2, Canada"
Brasserie Du Bois Blanc [BBB],/brewers/brasserie-du-bois-blanc-bbb/28702/,Microbrewery,"43 Rue Industrielle, Coteau-du-Lac, Quebec, J0P 1H0, Canada"
Brasserie Dunham,/brewers/brasserie-dunham/12142/,Brewpub/Brewery,"3809, Rue Principale, Dunham, Quebec, J0E 1M0, Canada"
Brasserie Éléments,/brewers/brasserie-elements/31701/,Brewpub,"1015, Boulevard du Quartier, Local 50, Brossard, Quebec, J4Z 0E3, Canada"
Brasserie Estuaire,/brewers/brasserie-estuaire/39830/,Client Brewer,"Quebec, Canada"
Brasserie Générale - Brasserie Urbaine [BG / BG18],/brewers/brasserie-generale-brasserie-urbaine-bg-bg18/18455/,Brewpub/Brewery,"Québec, Quebec, Canada"
Brasserie Grande Allée,/brewers/brasserie-grande-allee/30102/,Microbrewery,"4312, Boulevard de la Grande-Allée, Boisbriand, Quebec, J7H 1M9, Canada"
Brasserie Harricana,/brewers/brasserie-harricana/22336/,Brewpub/Brewery,"95, Rue Jean-Talon Ouest, Montréal, Quebec, H2R 2W8, Canada"
Brasserie INOX Brewery,/brewers/brasserie-inox-brewery/1110/,Brewpub,"655, Grande Allée Est, Québec, Quebec, G1R 2K4, Canada"
Brasserie Kruhnen,/brewers/brasserie-kruhnen/15139/,Microbrewery,"115, Rue Gaston-Dumoulin, local 105, Blainville, Quebec, J7C 6B4, Canada"
Brasserie La Chouape Brewing Co.,/brewers/brasserie-la-chouape-brewing-co/9609/,Brewpub/Brewery,"1070, Rang Double Nord, Saint-Félicien, Quebec, G8K 2N8, Canada"
Brasserie La Fosse,/brewers/brasserie-la-fosse/38214/,Brewpub/Brewery,"270, Rue de l'Église, Donnacona, Quebec, G3M 1Z5, Canada"
Brasserie La Mouche,/brewers/brasserie-la-mouche/34960/,Microbrewery,"33, CHEMIN DE L'AÉROPORT, Natashquan, Quebec, G0G 2E0, Canada"
Brasserie Les 2 Frères,/brewers/brasserie-les-2-freres/20728/,Microbrewery,"3082, Rue Joseph-Monier, Terrebonne, Quebec, J6X 4R1, Canada"
Brasserie Louks Brewery,/brewers/brasserie-louks-brewery/34893/,Brewpub/Brewery,"777, Avenue Lajoie, Dorval, Quebec, H9P 1G7, Canada"
Brasserie MaltCo,/brewers/brasserie-maltco/22748/,Brewpub/Brewery,"24-1750 rue du Périgord, Québec, Quebec, G1G 5X3, Canada"
Brasserie McAuslan (Brasseurs RJ),/brewers/brasserie-mcauslan-brasseurs-rj/137/,Commercial Brewery,"5080, Rue Saint-Ambroise, Montréal, Quebec, H4C 2G1, Canada"
Brasserie Mille-Îles,/brewers/brasserie-mille-iles/30101/,Microbrewery,"1065, Rue des Forges, Terrebonne, Quebec, J6Y 0J9, Canada"
Brasserie Port-Alfred,/brewers/brasserie-port-alfred/41648/,Brewpub,"1042 Avenue du Port, La Baie, Quebec, G7B 1W1, Canada"
Brasserie Retro Brewing,/brewers/brasserie-retro-brewing/37034/,Microbrewery,"913 Boulevard des Acadiens, Bertrand, New Brunswick, E1W 1H5, Canada"
Brasserie Sacrifice Beer Club,/brewers/brasserie-sacrifice-beer-club/44700/,Client Brewer,"Saint-Georges, Quebec, Canada"
Brasserie Saint-Antoine-Abbé,/brewers/brasserie-saint-antoine-abbe/3058/,Brewpub/Brewery,"3299, Route 209, Franklin, Quebec, J0S 1E0, Canada"
Brasserie Sir John Brewing Co.,/brewers/brasserie-sir-john-brewing-co/38792/,Brewpub/Brewery,"455, Rue Principale, Lachute, Quebec, J8H 1Y4, Canada"
Brasserie Tuque de Broue Brewery,/brewers/brasserie-tuque-de-broue-brewery/23321/,Microbrewery,"189 Bay St, Embrun, Ontario, K0A 1W1, Canada"
Brasserie Wilsy,/brewers/brasserie-wilsy/38215/,Brewpub/Brewery,"4600, Route 344, Saint-Placide, Quebec, J0V 2B0, Canada"
Brasseur de Montréal (Six Pints - Molson Coors),/brewers/brasseur-de-montreal-six-pints-molson-coors/9464/,Brewpub/Brewery,"1483, Rue Ottawa, Montréal, Quebec, H3C 1S9, Canada"
Brasseur Local,/brewers/brasseur-local/44880/,Microbrewery,"1650 1re Av, Québec, Quebec, G1L 3L6, Canada"
Brasseurs de Montebello,/brewers/brasseurs-de-montebello/19877/,Brewpub/Brewery,"237B rue Saint-Charles, Montebello, Quebec, J0V 1L0, Canada"
Brasseurs de West Shefford Brewing Co.,/brewers/brasseurs-de-west-shefford-brewing-co/40839/,Brewpub/Brewery,"92, Boulevard de Bromont, Local 101, Bromont, Quebec, J2L 2K6, Canada"
Brasseurs des Collines,/brewers/brasseurs-des-collines/50683/,Commercial Brewery,"Quebec, Canada"
Brasseurs du Monde,/brewers/brasseurs-du-monde/12944/,Brewpub/Brewery,"3755, Rue Picard, Porte 2, Saint-Hyacinthe, Quebec, J2S 1H3, Canada"
Brasseurs du Moulin,/brewers/brasseurs-du-moulin/25223/,Brewpub/Brewery,"99, Rue Richelieu, Beloeil, Quebec, J3G 4P8, Canada"
Brasseurs Les Bas-Fonds,/brewers/brasseurs-les-bas-fonds/38053/,Client Brewer,"Quebec, Canada"
Brasseurs RJ,/brewers/brasseurs-rj/365/,Brewpub/Brewery,"5585, Rue De La Roche, Montréal, Quebec, H1S 2S4, Canada"
Brasseurs sur Demande [BSD],/brewers/brasseurs-sur-demande-bsd/30854/,Brewpub/Brewery,"1177, Chemin de la Canardière, Québec, Quebec, G1J 2C3, Canada"
Brasseux d'la Côte,/brewers/brasseux-d39la-cote/36735/,Microbrewery,"3216, rue Princiaple, Tracadie, New Brunswick, E1X 1A3, Canada"
Brassneck Brewery,/brewers/brassneck-brewery/17801/,Microbrewery,"2148 Main St, Vancouver, British Columbia, V5T 3C5, Canada"
Brassta - Microbrasserie Universitaire,/brewers/brassta-microbrasserie-universitaire/23144/,Client Brewer,"Québec, Quebec, Canada"
Brauerei Fahr,/brewers/brauerei-fahr/26607/,Microbrewery,"123 Kennedy Dr SE, Turner Valley, Alberta, T0L 2A0, Canada"
Braumeister Brewing Co.,/brewers/braumeister-brewing-co/36140/,Microbrewery,"19 Moore Street, Carleton Place, Ontario, K7C 2R4, Canada"
Brauwerk Hoffman,/brewers/brauwerk-hoffman/38213/,Brewpub/Brewery,"1298, Route 148, Campbell's Bay, Quebec, J0X1K0, Canada"
Brave Brewing,/brewers/brave-brewing/50672/,Brewpub,"2617 Murray St, Port Moody, British Columbia, V3H 1X1, Canada"
Brazen Hall Brewery,/brewers/brazen-hall-brewery/28852/,Brewpub,"800 Pembina Highway, Winnipeg, Manitoba, R3M2M7, Canada"
Breakwall Brewing Company,/brewers/breakwall-brewing-company/34620/,Brewpub/Brewery,"48 Clarence St, Port Colborne, Ontario, L3K 3E9, Canada"
Breton Brewing Company,/brewers/breton-brewing-company/23704/,Microbrewery,"364 Keltic Drive, Sydney, Nova Scotia, B1R 1V7, Canada"
Brett & Sauvage - Nano-Brasserie,/brewers/brett-sauvage-nano-brasserie/38409/,Microbrewery,"37 chemin Saint-Isidore, Sainte-Thérèse-de-Gaspé, Quebec, G0C 3B0, Canada"
Brew Microbrewery,/brewers/brew-microbrewery/21669/,Brewpub,"635 University Ave E, Windsor, Ontario, N9A 2Z6, Canada"
Brew Revolution,/brewers/brew-revolution/38937/,Microbrewery,"6081 Hazeldean Rd, Stittsville, Ontario, K2S 1B9, Canada"
Brewers Blackbird Kitchen & Brewery,/brewers/brewers-blackbird-kitchen-brewery/42189/,Brewpub/Brewery,"375 Wilson St E, Hamilton, Ontario, L9G 2C1, Canada"
Brewhall,/brewers/brewhall/35880/,Brewpub,"97 E 2nd Ave, Vancouver, British Columbia, V5T1B3, Canada"
Brewing August,/brewers/brewing-august/46560/,Microbrewery,"1614 W 3rd Ave, Vancouver, British Columbia, V6J 1K2, Canada"
BreWskey - Brasserie Artisanale,/brewers/brewskey-brasserie-artisanale/25781/,Brewpub/Brewery,"385 rue de la Commune Est, Montréal, Quebec, H2Y 1H2, Canada"
Brewsters Brewing Company & Restaurant,/brewers/brewsters-brewing-company-restaurant/970/,Brewpub/Brewery,"5519 53 St SE, Calgary, Alberta, T2C 4V1, Canada"
Bricklayer Brewing,/brewers/bricklayer-brewing/44719/,Microbrewery,"101 - 46126 Yale Road, Chilliwack, British Columbia, V2P 2P1, Canada"
Bridge Brewing Company,/brewers/bridge-brewing-company/15073/,Microbrewery,"1488 Charlotte Road, North Vancouver, British Columbia, V7J 1H2, Canada"
Bright Eye Brewing (Canada),/brewers/bright-eye-brewing-canada/41614/,Microbrewery,"292 Tranquille Road, Kamloops, British Columbia, V2B 2G3, Canada"
Brightwood Brewery,/brewers/brightwood-brewery/27932/,Brewpub/Brewery,"35 - A Portland St, Dartmouth, Nova Scotia, B2Y 1H1, Canada"
Brimstone Brewing Company,/brewers/brimstone-brewing-company/19112/,Microbrewery,"209 Ridge Road North, Ridgeway, Ontario, L0S 1N0, Canada"
Britannia Brewing Company,/brewers/britannia-brewing-company/27749/,Brewpub/Brewery,"110-12500 Horseshoe Way, Richmond, British Columbia, V7A 5K2, Canada"
Broadhead Brewery,/brewers/broadhead-brewery/13612/,Microbrewery,"1680 Vimont Court, Unit 106, Orleans, Ontario, K4A 3M3, Canada"
Broadway - Microbrasserie [BW],/brewers/broadway-microbrasserie-bw/8180/,Brewpub/Brewery,"1380 Avenue de la Transmission, Shawinigan, Quebec, G9N 2B4, Canada"
Brock St. Brewing Company [Brock Street],/brewers/brock-st-brewing-company-brock-street/22879/,Brewpub/Brewery,"244 Brock St S, Whitby, Ontario, L1N 4K1, Canada"
Broken Rail Brewing,/brewers/broken-rail-brewing/45428/,Microbrewery,"480 Glass Street, St. Marys, Ontario, N4X 1E5, Canada"
Broken Stick Brewing Company,/brewers/broken-stick-brewing-company/21498/,Microbrewery,"600 Golf Road, Rockland, Ontario, K0A 2A0, Canada"
Brookswood Brewing,/brewers/brookswood-brewing/47675/,Microbrewery,"4061 200 St #102, Langley, British Columbia, V3A 1K8, Canada"
Brothers Brewing Company (Canada),/brewers/brothers-brewing-company-canada/24536/,Microbrewery,"15 Wyndham St N Unit A, Guelph, Ontario, N1H 4E5, Canada"
Broue du Païen Brewing Co.,/brewers/broue-du-paien-brewing-co/42564/,Microbrewery,"Sainte-Marie-de-Kent, New Brunswick, Canada"
Broue Pub Brouhaha (Coop MaBrasserie),/brewers/broue-pub-brouhaha-coop-mabrasserie/9459/,Client Brewer,"5860, Avenue de Lorimier, Montréal, Quebec, H2G 2N9, Canada"
Brouemont,/brewers/brouemont/3788/,Brewpub,"107, Boulevard de Bromont, Bromont, Quebec, J2L 2K5, Canada"
Brune Houblonde,/brewers/brune-houblonde/51980/,Microbrewery,"625 0A4 Rue Urgel, Laval, Quebec, H7R 4A4, Canada"
Brutopia - Brasseur Artisanal Brewpub,/brewers/brutopia-brasseur-artisanal-brewpub/914/,Brewpub,"1219, Rue Crescent, Montréal, Quebec, H3G 2B1, Canada"
Buffalo 9 Brewing Co.,/brewers/buffalo-9-brewing-co/43167/,Microbrewery,"Calgary, Alberta, Canada"
Bulkley Valley Brewery,/brewers/bulkley-valley-brewery/36627/,Brewpub/Brewery,"3860 1 Ave, Smithers, British Columbia, V0J 2N0, Canada"
Bumblebee Bight Inn & Brewery Co.,/brewers/bumblebee-bight-inn-brewery-co/44028/,Brewpub,"188 Main St, Pilley's Island, Newfoundland, A0J 1M0, Canada"
Burdock,/brewers/burdock/24117/,Brewpub,"1184 Bloor St. West, Toronto, Ontario, M6H 1N2, Canada"
Burlington Brewery,/brewers/burlington-brewery/46450/,Microbrewery,"3600 Dundas St, Burlington, Ontario, L7M 4B8, Canada"
Bush Pilot Brewing Company,/brewers/bush-pilot-brewing-company/16570/,Client Brewer,"Ontario, Canada"
Bushwakker Brewing Co.,/brewers/bushwakker-brewing-co/4473/,Brewpub,"2206 Dewdney Avenue, Regina, Saskatchewan, S4R 1H3, Canada"
C'est What?,/brewers/c39est-what/1865/,Client Brewer,"67 Front Street East, Toronto, Ontario, M5E 1B5, Canada"
Cabin Brewing Company,/brewers/cabin-brewing-company/38502/,Microbrewery,"505 36 Ave SE, Calgary, Alberta, T2G 1W5, Canada"
Calabogie Brewing,/brewers/calabogie-brewing/24207/,Microbrewery,"12612 Lanark Road, Calabogie, Ontario, K0J 1H0, Canada"
Caledon Hills Brewing Company,/brewers/caledon-hills-brewing-company/31668/,Microbrewery,"Caledon, Ontario, L0N 1P0, Canada"
Callister Brewing Co.,/brewers/callister-brewing-co/23685/,Microbrewery,"1338 Franklin Street, Vancouver, British Columbia, Canada"
Cameron's Brewing,/brewers/cameron39s-brewing/1104/,Microbrewery,"1165 Invicta Drive, Oakville, Ontario, L6H 4M1, Canada"
Camp Beer Co.,/brewers/camp-beer-co/39913/,Brewpub/Brewery,"19664 64 Avenue, Langley City, British Columbia, V2Y 1H3, Canada"
Camp de Base - Brasserie Éducative (Coop Brassicole Laurentides),/brewers/camp-de-base-brasserie-educative-coop-brassicole-laurentides/33820/,Brewpub/Brewery,"1510, Chemin de l'Avalanche, Saint-Adolphe-d'Howard, Quebec, J0T 2B0, Canada"
Campio Brewing Co. (Bear Hill Brewing),/brewers/campio-brewing-co-bear-hill-brewing/38994/,Microbrewery,"10257 105 St NW, Edmonton, Alberta, T5J 1E3, Canada"
Canadian Beaver Brewing Company,/brewers/canadian-beaver-brewing-company/43137/,Microbrewery,"112-328 7 St E, Brooks, Alberta, T1R 1C8, Canada"
Candid Brewing Company,/brewers/candid-brewing-company/46380/,Microbrewery,"88 College St, Antigonish, Nova Scotia, B2G1X7, Canada"
Canmore Brewing Company,/brewers/canmore-brewing-company/30438/,Microbrewery,"1460 Railway Ave, Canmore, Alberta, T1W 1P6, Canada"
Cannery Brewing,/brewers/cannery-brewing/3236/,Microbrewery,"198 Ellis St, Penticton, British Columbia, V2A 4L5, Canada"
Canton Brasse - Artisans Brasseurs,/brewers/canton-brasse-artisans-brasseurs/35454/,Brewpub,"2267, Chemin du Parc, Orford, Quebec, J1X 7A2, Canada"
Canuck Empire Brewing,/brewers/canuck-empire-brewing/18940/,Microbrewery,"Unit C - 33797 King Road, Abbotsford, British Columbia, V2S 7P2, Canada"
Canvas Brewing Co.,/brewers/canvas-brewing-co/42308/,Microbrewery,"12 John St., Huntsville, Ontario, P1H 1H2, Canada"
Caps Off Brewing Co. (Canada),/brewers/caps-off-brewing-co-canada/44165/,Brewpub/Brewery,"168 Curtis St Unit C, St Thomas, Ontario, N5P 3W9, Canada"
Cartwright Springs Brewery,/brewers/cartwright-springs-brewery/20655/,Brewpub/Brewery,"239 Deer Run Road, Pakenham, Ontario, K0A 2X0, Canada"
Cask and Kettle Brewing Company,/brewers/cask-and-kettle-brewing-company/42231/,Brewpub/Brewery,"112 Prince William St, Saint John, New Brunswick, E2L 2B2, Canada"
Catapult Brewing,/brewers/catapult-brewing/36668/,Client Brewer,"Ontario, Canada"
Category 12 Brewing,/brewers/category-12-brewing/21637/,Microbrewery,"2200 Keating Cross Road, Saanichton, British Columbia, V8M2A6, Canada"
Cavok Brewing Co.,/brewers/cavok-brewing-co/39359/,Microbrewery,"250 boul. Dieppe, Dieppe, New Brunswick, E1A 6P8, Canada"
Cecil's Brewhouse & Kitchen,/brewers/cecil39s-brewhouse-kitchen/23911/,Brewpub,"300 Wyld St., North Bay, Ontario, P1B 8K3, Canada"
Celtic Knot Brewing,/brewers/celtic-knot-brewing/17067/,Microbrewery,"23 Biggs Drive, Riverview, New Brunswick, Canada"
Central City Brewers + Distillers,/brewers/central-city-brewers-distillers/4327/,Microbrewery,"11411 Bridgeview Drive, Surrey, British Columbia, V3R 0C2, Canada"
Champ Libre - Brasserie & Distillerie,/brewers/champ-libre-brasserie-distillerie/34609/,Brewpub/Brewery,"260, Boulevard Saint-Jean-Baptiste, Mercier, Quebec, J6R 2B8, Canada"
Change Is Brewing Collective,/brewers/change-is-brewing-collective/44770/,Client Brewer,"Nova Scotia, Canada"
Chapter Two Brewing Company,/brewers/chapter-two-brewing-company/34619/,Microbrewery,"2345 Edna Street, Windsor, Ontario, N8Y 2N5, Canada"
Charlotteville Brewing Co.,/brewers/charlotteville-brewing-co/32155/,Microbrewery,"1207 Charlotteville West Quarter Line, Simcoe, Ontario, N3Y 4K1, Canada"
Cheetah International Brewers,/brewers/cheetah-international-brewers/11648/,Client Brewer,"Ontario, Canada"
Chronicle Brewing Co.,/brewers/chronicle-brewing-co/36564/,Microbrewery,"422 Lake Rd #3, Bowmanville, Ontario, L1A 4P8, Canada"
Churchill Brewing Company,/brewers/churchill-brewing-company/26156/,Microbrewery,"839 51st Street East, Saskatoon, Saskatchewan, S7K 5C6, Canada"
Church-Key Brewing Company,/brewers/church-key-brewing-company/1291/,Microbrewery,"1678 County Road 38, Campbellford, Ontario, K0L 1L0, Canada"
Citizen Brewing Company,/brewers/citizen-brewing-company/33126/,Microbrewery,"227 35th Ave NE, Calgary, Alberta, T2E 2K5, Canada"
Clear Lake Brewing Co.,/brewers/clear-lake-brewing-co/32153/,Microbrewery,"4651 Southwood Rd., Torrance, Ontario, P0C 1M0, Canada"
Clifford Brewing Co.,/brewers/clifford-brewing-co/21887/,Microbrewery,"398 Nash Rd. N. Unit 1, Hamilton, Ontario, L8H 7P5, Canada"
Clocktower Brew Pub,/brewers/clocktower-brew-pub/3384/,Brewpub,"575 Bank Street, Ottawa, Ontario, K1S 5L7, Canada"
Coast Mountain Brewing,/brewers/coast-mountain-brewing/28507/,Microbrewery,"1212 Alpha Lake Rd #2, Whistler, British Columbia, V0N1B1, Canada"
Cock-A-Hoop (The Cornerhouse on Main),/brewers/cock-a-hoop-the-cornerhouse-on-main/50796/,Brewpub,"6403 Main St, Stouffville, Ontario, L4A 7Z6, Canada"
Cold Bear Brewing Company,/brewers/cold-bear-brewing-company/49748/,Brewpub/Brewery,"100 Madawaska Blvd, Arnprior, Ontario, K7S 1S7, Canada"
Cold Break Brewing,/brewers/cold-break-brewing/42563/,Brewpub/Brewery,"193 St Paul St W,, St. Catharines, Ontario, L2S 2C9, Canada"
Cold Garden Beverage Company,/brewers/cold-garden-beverage-company/27133/,Microbrewery,"1100 11 Street SE, Calgary, Alberta, T2G 4T3, Canada"
Cold Lake Brewing & Distilling Co.,/brewers/cold-lake-brewing-distilling-co/43142/,Microbrewery,"5109 51 Ave, Cold Lake, Alberta, T9M 1P1, Canada"
Cold Springs Brewery (Canada),/brewers/cold-springs-brewery-canada/51524/,Microbrewery,"4242 Canning Rd, Cobourg, Ontario, K9A 4J9, Canada"
Collective Arts Brewing,/brewers/collective-arts-brewing/17406/,Microbrewery,"207 Burlington Street East, Hamilton, Ontario, L8L 4H2, Canada"
Columbia Brewery - Kokanee Beer (Labatt - AB InBev),/brewers/columbia-brewery-kokanee-beer-labatt-ab-inbev/405/,Commercial Brewery,"1220 Erickson Street, Creston, British Columbia, V0B 1G3, Canada"
Common Crown Brewing Co.,/brewers/common-crown-brewing-co/27134/,Microbrewery,"943 28th Street NE, Calgary, Alberta, T2A 7X1, Canada"
Common Good Beer Company,/brewers/common-good-beer-company/28850/,Microbrewery,"475 Ellesmere Road, Toronto, Ontario, M1R 4E5, Canada"
Concession Road Brewing Co.,/brewers/concession-road-brewing-co/34925/,Microbrewery,"17 Talbot St East, Jarvis, Ontario, N0A1J0, Canada"
Conspiracy Theory Brewing Co.,/brewers/conspiracy-theory-brewing-co/30024/,Microbrewery,"2172 Robertson Rd, Ottawa, Ontario, K2H 5Z1, Canada"
Container Brewing,/brewers/container-brewing/41025/,Microbrewery,"1216 Franklin St, Vancouver, British Columbia, V6A 1K1, Canada"
Cool Beer Brewing Co.,/brewers/cool-beer-brewing-co/2779/,Commercial Brewery,"164 Evans  Ave, Toronto, Ontario, M8Z 1J4, Canada"
Cool India Brewing Company,/brewers/cool-india-brewing-company/44207/,Client Brewer,"Ontario, Canada"
Copper Bottom Brewing Company,/brewers/copper-bottom-brewing-company/33467/,Microbrewery,"567 Main Street, Montague, Prince Edward Island, C0A 1R0, Canada"
Copper Brewing,/brewers/copper-brewing/41000/,Brewpub/Brewery,"1851 Kirschner Rd #102, Kelowna, British Columbia, V1Y4N7, Canada"
Copperworks Brew Pub,/brewers/copperworks-brew-pub/32267/,Brewpub,"7 Division st, Bowmanville, Ontario, L1C 2Z2, Canada"
Corsaire - Microbrasserie Pirate,/brewers/corsaire-microbrasserie-pirate/9465/,Brewpub/Brewery,"Lévis, Quebec, Canada"
Côte à Beausoleil - Brasserie Artisanale,/brewers/cote-a-beausoleil-brasserie-artisanale/39865/,Brewpub/Brewery,"181 Route Louis-Cyr, Saint-Jean-de-Matha, Quebec, J0K, Canada"
Couchiching Craft Brewing Co.,/brewers/couchiching-craft-brewing-co/37770/,Brewpub/Brewery,"162 Mississaga St. East, Orillia, Ontario, L3V 1V9, Canada"
Counterpart Brewing,/brewers/counterpart-brewing/39350/,Microbrewery,"3659 Stanley Ave, Niagara Falls, Ontario, L2E 0A6, Canada"
Counterpoint Brewing Company,/brewers/counterpoint-brewing-company/38780/,Brewpub/Brewery,"935 Frederick St #4, Kitchener, Ontario, N2B 2B9, Canada"
County Durham Brewing Company,/brewers/county-durham-brewing-company/1305/,Microbrewery,"1885 Clements Rd, Unit 273, Pickering, Ontario, L1W 3V4, Canada"
Covered Bridge Brewing Co.,/brewers/covered-bridge-brewing-co/18343/,Microbrewery,"119 Iber Rd #6, Ottawa, Ontario, K2S 1E7, Canada"
Cowbell Brewing Co.,/brewers/cowbell-brewing-co/27228/,Brewpub/Brewery,"40035 Blyth Rd, Blyth, Ontario, N0M 1H0, Canada"
Cowtown Brewing Co. / Beerdmeister Craft Beer,/brewers/cowtown-brewing-co-beerdmeister-craft-beer/34148/,Microbrewery,"1806 - 20 Street, Didsbury, Alberta, T0M 0W0, Canada"
Craft Beer Commonwealth,/brewers/craft-beer-commonwealth/44787/,Brewpub/Brewery,"558 Laura Ave, Red Deer County, Alberta, T4E 0A5, Canada"
Craft Heads Brewing Company,/brewers/craft-heads-brewing-company/24390/,Brewpub,"89 University Ave. W, Windsor, Ontario, N9A 5N8, Canada"
Craig Street Brewing,/brewers/craig-street-brewing/7714/,Brewpub/Brewery,"25 Craig Street, Duncan, British Columbia, V9L1V7, Canada"
Crannóg Ales,/brewers/crannog-ales/1227/,Microbrewery,"706 Elson Rd, Sorrento, British Columbia, V0E 2W0, Canada"
Creemore Springs Brewery (Six Pints - Molson Coors),/brewers/creemore-springs-brewery-six-pints-molson-coors/955/,Microbrewery,"139 Mill Street, Creemore, Ontario, L0M 1G0, Canada"
Crooked Feeder Brewing Co.,/brewers/crooked-feeder-brewing-co/38110/,Microbrewery,"351 Veterans Dr, Cormack, Newfoundland, A8A 2N1, Canada"
Cross Creek Brewing,/brewers/cross-creek-brewing/42124/,Microbrewery,"317 Oak Mountain Road, Oak Mountain, New Brunswick, Canada"
Crossroads Brewing & Distillery (Canada),/brewers/crossroads-brewing-distillery-canada/30771/,Brewpub/Brewery,"508 George St, Prince George, British Columbia, V2L 1R7, Canada"
Cumberland Brewing Company (Canada),/brewers/cumberland-brewing-company-canada/21927/,Brewpub/Brewery,"2732 Dunsmuir Ave, Cumberland, British Columbia, V0R 1S0, Canada"
Cured Craft Brewing Co.,/brewers/cured-craft-brewing-co/43427/,Brewpub/Brewery,"43 Mill St. West, Leamington, Ontario, N8H 1M4, Canada"
Curley Brewing Company,/brewers/curley-brewing-company/39802/,Microbrewery,"1634 Hyde Park, London, Ontario, H6H 5L7, Canada"
Daft Brewing,/brewers/daft-brewing/42421/,Brewpub/Brewery,"768 Princess St,, Kingston, Ontario, K7L 1G3, Canada"
Dageraad Brewing,/brewers/dageraad-brewing/19681/,Microbrewery,"#114 - 3191 Thunderbird Crescent, Burnaby, British Columbia, V5A 3G1, Canada"
Dark Woods Brewing & Coffee Roasting,/brewers/dark-woods-brewing-coffee-roasting/43148/,Brewpub/Brewery,"4720 50 St, Innisfail, Alberta, T4G 1P8, Canada"
